table_name,column_name,column_order,data_type,n_rows,n_with_data,n_distinct,pct_with_data,est_rows_same_value,likely_pii,action
cpcms_offense_data,lead_offense_indicator,11,VARCHAR,3669335,3669335,2,1,1834667.5,FALSE,group: dichotomous
cpcms_offense_data,offense_date,8,DATE,3669335,3669288,15158,0.9999871911395389,242.07,FALSE,date
cpcms_offense_data,offense_disposition,9,VARCHAR,3669335,3627458,189,0.9885873053291673,19192.9,FALSE,other
cpcms_offense_data,offense_disposition_date,10,VARCHAR,3669335,3627458,670166,0.9885873053291673,5.41,FALSE,date
cpcms_offense_data,offense_grade,12,VARCHAR,3669335,3543093,19,0.9655954008015076,186478.58,FALSE,group: <= 30
cpcms_offense_data,offense_sequence_number,3,DOUBLE,3669335,3669335,4616,1,794.92,FALSE,numeric
cpcms_offense_data,otn,2,VARCHAR,3669335,3658848,1409859,0.9971419889435007,2.6,FALSE,key
cpcms_offense_data,section,5,VARCHAR,3669335,3669335,1248,1,2940.17,FALSE,other
cpcms_offense_data,sub_section,6,VARCHAR,3669335,3382275,940,0.9217678407667874,3598.16,FALSE,other
cpcms_offense_data,title,4,VARCHAR,3669335,3669335,45,1,81540.78,FALSE,other
cpcms_participant_confinement_data,confinement_date,3,VARCHAR,NA,1386972,22757,1,60.95,FALSE,date
cpcms_participant_confinement_data,confinement_end_date,4,VARCHAR,NA,1097071,7836,0.7909828028251471,140,FALSE,date
cpcms_participant_confinement_data,confinement_reason,7,VARCHAR,NA,53491,30,0.03856674828331069,1783.03,FALSE,drop: many nulls
cpcms_participant_confinement_data,confinement_type,5,VARCHAR,NA,1386972,10,1,138697.2,FALSE,group: <= 10
cpcms_participant_confinement_data,defendant_dob,2,DATE,NA,1386087,21710,0.9993619193466055,63.85,TRUE,date
cpcms_participant_confinement_data,defendant_name,1,VARCHAR,NA,1386972,558422,1,2.48,TRUE,other
cpcms_participant_confinement_data,reporting_institution,6,VARCHAR,NA,1376519,802,0.992463438339058,1716.36,FALSE,other
cpcms_participant_confinement_data,still_in_custody,8,VARCHAR,NA,1386972,2,1,693486,FALSE,group: dichotomous
cpcms_payment_plan_data,active,5,VARCHAR,704719,704719,1,1,704719,FALSE,drop: only one value
cpcms_payment_plan_data,docket_number,1,VARCHAR,704719,704719,704685,1,1,FALSE,key
cpcms_payment_plan_data,due_date,4,DATE,704719,697122,8877,0.9892198166928946,78.53,FALSE,date
cpcms_payment_plan_data,next_due_amt,7,DOUBLE,704719,704719,45047,1,15.64,FALSE,numeric
cpcms_payment_plan_data,otn,2,VARCHAR,704719,702621,691312,0.9970229268687235,1.02,FALSE,key
cpcms_payment_plan_data,overdue_amt,8,DOUBLE,704719,704719,114897,1,6.13,FALSE,numeric
cpcms_payment_plan_data,payment_plan_frequency,3,VARCHAR,704719,704719,8,1,88089.88,FALSE,group: <= 10
cpcms_payment_plan_data,suspended,6,VARCHAR,704719,704719,1,1,704719,FALSE,drop: only one value
cpcms_related_case_data,docket_number,1,VARCHAR,NA,661978,223993,1,2.96,FALSE,key
cpcms_related_case_data,related_case_caption,4,VARCHAR,NA,661974,149187,0.9999939575031195,4.44,FALSE,other
