table_name,column_name,column_order,data_type,n_with_data,n_distinct,pct_with_data
cpcms_sentence_data,sentence_conditions,21,VARCHAR,3387876,659221,0.6839783315486256
cpcms_sentence_data,sentence_date,6,VARCHAR,4953192,985608,1
cpcms_sentence_data,sentence_period,7,VARCHAR,4361543,3148,0.8805519753726486
cpcms_sentence_data,sentence_type,5,VARCHAR,4953192,7,1
cpcms_sentence_data,sentencing_event_type,20,VARCHAR,4953162,1021,0.9999939432995935
cpcms_sentence_data,sentencing_judge,18,VARCHAR,4953192,1392,1
cpcms_sentence_data,sentencing_location,19,VARCHAR,1053320,268,0.21265478907338944
cpcms_sentence_link_data,link_number,4,VARCHAR,1392104,560,1
cpcms_sentence_link_data,linked_docket,3,VARCHAR,1392104,484007,1
cpcms_sentence_link_data,primary_docket,2,VARCHAR,1392104,410701,1
cpcms_sentence_link_data,sentence_dt,7,VARCHAR,1392104,351897,1
cpcms_sentence_link_data,sentence_link_sort,1,VARCHAR,1392104,1392104,1
cpcms_sentence_link_data,short_caption,6,VARCHAR,1392104,281291,1
cpcms_sentence_link_data,short_display_value,5,VARCHAR,1392104,1114657,1
mdjs_alias_data,defendant_name,3,VARCHAR,2433282,1280389,0.9999991780655278
mdjs_alias_data,docket_number,1,VARCHAR,2433284,773023,1
mdjs_alias_data,otn,2,VARCHAR,2433128,772914,0.9999358891111765
mdjs_attorney_data,active_date,7,VARCHAR,1554721,390112,0.992990972060331
mdjs_attorney_data,address,9,VARCHAR,1565695,20079,1
mdjs_attorney_data,attorney_name,3,VARCHAR,1565695,9107,1
mdjs_attorney_data,attorney_role,5,VARCHAR,1565695,16,1
mdjs_attorney_data,attorney_status,6,VARCHAR,1565695,2,1
mdjs_attorney_data,city,10,VARCHAR,1564417,1126,0.9991837490699018
mdjs_attorney_data,docket_number,1,VARCHAR,1565695,883727,1
mdjs_attorney_data,inactive_date,8,VARCHAR,94741,12083,0.060510508113010515
mdjs_attorney_data,otn,2,VARCHAR,1565469,883599,0.9998556551563363
mdjs_attorney_data,state,11,VARCHAR,1564539,24,0.9992616697377203
mdjs_attorney_data,supreme_court_number,4,VARCHAR,1011296,8703,0.6459086859190327
mdjs_attorney_data,zip_code,12,VARCHAR,1563138,3704,0.9983668594458052
mdjs_bail_action_data,bail_action,8,VARCHAR,1232986,21,1
mdjs_bail_action_data,bail_action_authority,7,VARCHAR,1232986,1414,1
mdjs_bail_action_data,bail_action_created_system,10,VARCHAR,1232986,582,1
mdjs_bail_action_data,bail_action_date,9,VARCHAR,1232986,1152338,1
mdjs_bail_action_data,bail_identifier,3,VARCHAR,1232986,891330,1
mdjs_bail_action_data,bail_percentage,6,VARCHAR,139907,9,0.11347006373146167
mdjs_bail_action_data,bail_set_amount,5,DOUBLE,1232986,730,1
mdjs_bail_action_data,bail_type,4,VARCHAR,1213031,7,0.9838157124249586
mdjs_bail_action_data,docket_number,1,VARCHAR,1232986,816364,1
mdjs_bail_action_data,otn,2,VARCHAR,1232941,816322,0.9999635032352354
mdjs_bail_post_data,bail_identifier,3,VARCHAR,354719,332583,1
mdjs_bail_post_data,bail_post_created_system,10,VARCHAR,354719,571,1
mdjs_bail_post_data,bail_posting_status,4,VARCHAR,354719,2,1
mdjs_bail_post_data,bail_posting_status_date,5,VARCHAR,354719,180736,1
mdjs_bail_post_data,docket_number,1,VARCHAR,354719,314324,1
mdjs_bail_post_data,otn,2,VARCHAR,354709,314313,0.9999718086710889
mdjs_bail_post_data,security_amount,7,DOUBLE,354719,433,1
mdjs_bail_post_data,security_type,6,VARCHAR,354719,9,1
mdjs_bail_post_data,surety_name,9,VARCHAR,354719,199433,1
mdjs_bail_post_data,surety_type,8,VARCHAR,354719,3,1
mdjs_calendar_event_data,attending_judge,7,VARCHAR,2703477,1052,0.819471114572039
mdjs_calendar_event_data,calendar_event_date,4,DATE,3299051,4356,1
mdjs_calendar_event_data,calendar_event_location,5,VARCHAR,815497,709,0.24719138928134182
mdjs_calendar_event_data,calendar_event_type,3,VARCHAR,3299008,29,0.9999869659486925
mdjs_calendar_event_data,docket_number,1,VARCHAR,3299051,956892,1
mdjs_calendar_event_data,otn,2,VARCHAR,3298651,956756,0.9998787530110932
mdjs_calendar_event_data,schedule_status,6,VARCHAR,3299051,4,1
mdjs_case_confinement_data,confinement_date,6,VARCHAR,349930,163041,1
mdjs_case_confinement_data,confinement_end_date,7,VARCHAR,217472,87383,0.6214728660017718
mdjs_case_confinement_data,confinement_location,5,VARCHAR,349930,125,1
mdjs_case_confinement_data,confinement_reason,4,VARCHAR,349929,6,0.9999971422856
mdjs_case_confinement_data,confinement_type,3,VARCHAR,349930,2,1
mdjs_case_confinement_data,confining_judge,8,VARCHAR,349853,970,0.9997799559911983
mdjs_case_confinement_data,defendant_name,2,VARCHAR,349930,237936,1
mdjs_case_confinement_data,docket_number,1,VARCHAR,349930,329526,1
mdjs_case_data,arrest_date,6,VARCHAR,401274,4803,0.42752624934077
mdjs_case_data,case_status,7,VARCHAR,938595,4,1
mdjs_case_data,county,1,VARCHAR,938595,66,1
mdjs_case_data,defendant_dob,11,DATE,932783,23303,0.9938077658628056
mdjs_case_data,defendant_gender,9,VARCHAR,932358,3,0.9933549614050788
mdjs_case_data,defendant_name,8,VARCHAR,938595,655452,1
mdjs_case_data,defendant_race,10,VARCHAR,928079,8,0.988796019582461
mdjs_case_data,defendant_zip_code,12,VARCHAR,924891,23564,0.985399453438384
mdjs_case_data,docket_number,2,VARCHAR,938595,938595,1
mdjs_case_data,filed_date,4,VARCHAR,938595,708752,1
mdjs_case_data,initiation_date,5,VARCHAR,938595,724354,1
mdjs_case_data,otn,3,VARCHAR,938460,938437,0.9998561679957809
mdjs_docket_entry_data,docket_number,1,VARCHAR,7734697,967140,1
mdjs_docket_entry_data,filed_date,3,DATE,7734697,4776,1
mdjs_docket_entry_data,filer,5,VARCHAR,7734697,296933,1
mdjs_docket_entry_data,official_docket_entry,4,VARCHAR,7734697,136,1
mdjs_docket_entry_data,otn,2,VARCHAR,7733844,966979,0.9998897177226206
mdjs_financial_data,adjusted_amount,6,DOUBLE,1341327,15986,1
mdjs_financial_data,assessed_amount,5,DOUBLE,1341327,14362,1
mdjs_financial_data,assessment_category,3,VARCHAR,1341327,4,1
mdjs_financial_data,assessment_type,4,VARCHAR,1341327,147,1
mdjs_financial_data,balance,9,DOUBLE,1341327,1970,1
mdjs_financial_data,docket_number,1,VARCHAR,1341327,233807,1
mdjs_financial_data,non_monetary_payment_amount,7,DOUBLE,1341327,1,1
mdjs_financial_data,otn,2,VARCHAR,1341179,233774,0.9998896615068511
mdjs_financial_data,payment_amount,8,DOUBLE,1341327,4841,1
mdjs_offense_data,advised_of_his_right_to_apply_for_assignment_of_counsel,13,VARCHAR,2457249,2,1
mdjs_offense_data,application_provided_for_appointment_of_public_defender,15,VARCHAR,2457249,2,1
mdjs_offense_data,description,7,VARCHAR,2453536,4348,0.9984889606222243
mdjs_offense_data,docket_number,1,VARCHAR,2457249,967142,1
mdjs_offense_data,lead_offense_indicator,11,VARCHAR,2457249,2,1
mdjs_offense_data,offense_date,8,DATE,2457249,5232,1
mdjs_offense_data,offense_disposition,9,VARCHAR,2273317,20,0.9251471869558193
mdjs_offense_data,offense_disposition_date,10,VARCHAR,2273288,159603,0.9251353851400489
mdjs_offense_data,offense_grade,12,VARCHAR,2358940,18,0.959992251497508
mdjs_offense_data,offense_sequence_number,3,DOUBLE,2457249,13568,1
mdjs_offense_data,otn,2,VARCHAR,2452004,966981,0.9978654991822156
mdjs_offense_data,public_defender_requested_by_the_defendant,14,VARCHAR,2457249,2,1
mdjs_offense_data,section,5,VARCHAR,2452775,1244,0.9981792646980424
mdjs_offense_data,sub_section,6,VARCHAR,2330409,929,0.9483812995752567
mdjs_offense_data,title,4,VARCHAR,2452775,40,0.9981792646980424
mdjs_payment_plan_data,active,5,VARCHAR,24093,2,1
mdjs_payment_plan_data,docket_number,1,VARCHAR,24093,23918,1
mdjs_payment_plan_data,due_date,4,VARCHAR,545,285,0.022620678205287844
mdjs_payment_plan_data,next_due_amt,6,DOUBLE,24093,273,1
mdjs_payment_plan_data,otn,2,VARCHAR,24088,23914,0.9997924708421533
mdjs_payment_plan_data,overdue_amt,7,DOUBLE,24093,253,1
mdjs_payment_plan_data,payment_plan_frequency,3,VARCHAR,24093,6,1
mdjs_sentence_data,case_disposition,13,VARCHAR,22868,5,1
mdjs_sentence_data,docket_number,1,VARCHAR,22868,21693,1
mdjs_sentence_data,end_date,8,VARCHAR,19986,4384,0.8739723631275145
mdjs_sentence_data,facility_location,9,VARCHAR,3665,93,0.1602676228791324
