table_name,column_name,column_order,data_type,pct_with_data,n_records,n_distinct
cpcms_sentence_data,sentence_date,6,TIMESTAMP,1,2741628,995358
cpcms_sentence_data,sentence_period,7,VARCHAR,0.7623904483029791,2090191,3158
cpcms_sentence_data,program_type,8,VARCHAR,0.7886799376137098,2162267,35
cpcms_sentence_data,effective_sentence_date,9,DATE,0.32518817286663254,891545,8277
cpcms_sentence_data,min_years,10,DOUBLE,0.7971391450627145,2185459,47
cpcms_sentence_data,min_months,11,DOUBLE,0.7986105335953674,2189493,164
cpcms_sentence_data,min_days,12,DOUBLE,0.7752795054617184,2125528,1056
cpcms_sentence_data,min_hours,13,DOUBLE,0.7600378315365907,2083741,62
cpcms_sentence_data,max_years,14,DOUBLE,0.7881040024394265,2160688,63
cpcms_sentence_data,max_months,15,DOUBLE,0.7896060297020603,2164806,264
cpcms_sentence_data,max_days,16,DOUBLE,0.7774041554871777,2131353,1053
cpcms_sentence_data,max_hours,17,DOUBLE,0.7606870808147568,2085521,40
cpcms_sentence_data,sentencing_judge,18,VARCHAR,1,2741628,1380
cpcms_sentence_data,sentencing_location,19,VARCHAR,0.16584087994432506,454674,255
cpcms_sentence_data,sentencing_event_type,20,VARCHAR,0.9999792094332273,2741571,988
cpcms_sentence_data,credit_for_time_served,21,DOUBLE,0.2624984133514831,719673,1879
cpcms_sentence_data,case_disposition,22,VARCHAR,0.9999974467725016,2741621,127
cpcms_sentence_data,offense_disposition,23,VARCHAR,0.999931792351114,2741441,63
cpcms_sentence_data,disposing_judge,24,VARCHAR,1,2741628,1549
cpcms_sentence_link_data,sentence_link_sort,1,VARCHAR,1,1392104,1392104
cpcms_sentence_link_data,primary_docket,2,VARCHAR,1,1392104,410701
cpcms_sentence_link_data,linked_docket,3,VARCHAR,1,1392104,484007
cpcms_sentence_link_data,link_number,4,VARCHAR,1,1392104,560
cpcms_sentence_link_data,short_display_value,5,VARCHAR,1,1392104,1114657
cpcms_sentence_link_data,short_caption,6,VARCHAR,1,1392104,281291
cpcms_sentence_link_data,sentence_dt,7,DATE,1,1392104,4978
mdjs_alias_data,docket_number,1,VARCHAR,1,2433284,773023
mdjs_alias_data,otn,2,VARCHAR,0.9999358891111765,2433128,772914
mdjs_alias_data,defendant_name,3,VARCHAR,0.9999991780655278,2433282,1280389
mdjs_attorney_data,docket_number,1,VARCHAR,1,1565695,883727
mdjs_attorney_data,otn,2,VARCHAR,0.9998556551563363,1565469,883599
mdjs_attorney_data,attorney_name,3,VARCHAR,1,1565695,9107
mdjs_attorney_data,supreme_court_number,4,VARCHAR,0.6459086859190327,1011296,8703
mdjs_attorney_data,attorney_role,5,VARCHAR,1,1565695,16
mdjs_attorney_data,attorney_status,6,VARCHAR,1,1565695,2
mdjs_attorney_data,active_date,7,DATE,0.992990972060331,1554721,3560
mdjs_attorney_data,inactive_date,8,DATE,0.060510508113010515,94741,2076
mdjs_attorney_data,address,9,VARCHAR,1,1565695,20079
mdjs_attorney_data,city,10,VARCHAR,0.9991837490699018,1564417,1126
mdjs_attorney_data,state,11,VARCHAR,0.9992616697377203,1564539,24
mdjs_attorney_data,zip_code,12,VARCHAR,0.9983668594458052,1563138,3704
mdjs_bail_action_data,docket_number,1,VARCHAR,1,1232986,816364
mdjs_bail_action_data,otn,2,VARCHAR,0.9999635032352354,1232941,816322
mdjs_bail_action_data,bail_identifier,3,VARCHAR,1,1232986,891330
mdjs_bail_action_data,bail_type,4,VARCHAR,0.9838157124249586,1213031,7
mdjs_bail_action_data,bail_set_amount,5,DOUBLE,1,1232986,730
mdjs_bail_action_data,bail_percentage,6,VARCHAR,0.11347006373146167,139907,9
mdjs_bail_action_data,bail_action_authority,7,VARCHAR,1,1232986,1414
mdjs_bail_action_data,bail_action,8,VARCHAR,1,1232986,21
mdjs_bail_action_data,bail_action_date,9,DATE,1,1232986,3276
mdjs_bail_action_data,bail_action_created_system,10,VARCHAR,1,1232986,582
mdjs_bail_post_data,docket_number,1,VARCHAR,1,354719,314324
mdjs_bail_post_data,otn,2,VARCHAR,0.9999718086710889,354709,314313
mdjs_bail_post_data,bail_identifier,3,VARCHAR,1,354719,332583
mdjs_bail_post_data,bail_posting_status,4,VARCHAR,1,354719,2
mdjs_bail_post_data,bail_posting_status_date,5,DATE,1,354719,2992
mdjs_bail_post_data,security_type,6,VARCHAR,1,354719,9
mdjs_bail_post_data,security_amount,7,DOUBLE,1,354719,433
mdjs_bail_post_data,surety_type,8,VARCHAR,1,354719,3
mdjs_bail_post_data,surety_name,9,VARCHAR,1,354719,199433
mdjs_bail_post_data,bail_post_created_system,10,VARCHAR,1,354719,571
mdjs_calendar_event_data,docket_number,1,VARCHAR,1,3299051,956892
mdjs_calendar_event_data,otn,2,VARCHAR,0.9998787530110932,3298651,956756
mdjs_calendar_event_data,calendar_event_type,3,VARCHAR,0.9999869659486925,3299008,29
mdjs_calendar_event_data,calendar_event_date,4,DATE,1,3299051,4356
mdjs_calendar_event_data,calendar_event_location,5,VARCHAR,0.24719138928134182,815497,709
mdjs_calendar_event_data,schedule_status,6,VARCHAR,1,3299051,4
mdjs_calendar_event_data,attending_judge,7,VARCHAR,0.819471114572039,2703477,1052
mdjs_case_confinement_data,docket_number,1,VARCHAR,1,349930,329526
mdjs_case_confinement_data,defendant_name,2,VARCHAR,1,349930,237936
mdjs_case_confinement_data,confinement_type,3,VARCHAR,1,349930,2
mdjs_case_confinement_data,confinement_reason,4,VARCHAR,0.9999971422856,349929,6
mdjs_case_confinement_data,confinement_location,5,VARCHAR,1,349930,125
mdjs_case_confinement_data,confinement_date,6,DATE,1,349930,3030
mdjs_case_confinement_data,confinement_end_date,7,DATE,0.6214728660017718,217472,2998
mdjs_case_confinement_data,confining_judge,8,VARCHAR,0.9997799559911983,349853,970
mdjs_case_data,county,1,VARCHAR,1,938595,66
mdjs_case_data,docket_number,2,VARCHAR,1,938595,938595
mdjs_case_data,otn,3,VARCHAR,0.9998561679957809,938460,938437
mdjs_case_data,filed_date,4,DATE,1,938595,3994
mdjs_case_data,initiation_date,5,DATE,1,938595,3997
mdjs_case_data,arrest_date,6,DATE,0.42752624934077,401274,3465
mdjs_case_data,case_status,7,VARCHAR,1,938595,4
mdjs_case_data,defendant_name,8,VARCHAR,1,938595,655452
mdjs_case_data,defendant_gender,9,VARCHAR,0.9933549614050788,932358,3
mdjs_case_data,defendant_race,10,VARCHAR,0.988796019582461,928079,8
mdjs_case_data,defendant_dob,11,DATE,0.9938077658628056,932783,23303
mdjs_case_data,defendant_zip_code,12,VARCHAR,0.985399453438384,924891,23564
mdjs_docket_entry_data,docket_number,1,VARCHAR,1,7734697,967140
mdjs_docket_entry_data,otn,2,VARCHAR,0.9998897177226206,7733844,966979
mdjs_docket_entry_data,filed_date,3,DATE,1,7734697,4776
mdjs_docket_entry_data,official_docket_entry,4,VARCHAR,1,7734697,136
mdjs_docket_entry_data,filer,5,VARCHAR,1,7734697,296933
mdjs_financial_data,docket_number,1,VARCHAR,1,1341327,233807
mdjs_financial_data,otn,2,VARCHAR,0.9998896615068511,1341179,233774
mdjs_financial_data,assessment_category,3,VARCHAR,1,1341327,4
mdjs_financial_data,assessment_type,4,VARCHAR,1,1341327,147
mdjs_financial_data,assessed_amount,5,DOUBLE,1,1341327,14362
mdjs_financial_data,adjusted_amount,6,DOUBLE,1,1341327,15986
mdjs_financial_data,non_monetary_payment_amount,7,DOUBLE,1,1341327,1
mdjs_financial_data,payment_amount,8,DOUBLE,1,1341327,4841
mdjs_financial_data,balance,9,DOUBLE,1,1341327,1970
mdjs_offense_data,docket_number,1,VARCHAR,1,2457249,967142
mdjs_offense_data,otn,2,VARCHAR,0.9978654991822156,2452004,966981
mdjs_offense_data,offense_sequence_number,3,DOUBLE,1,2457249,13568
mdjs_offense_data,title,4,VARCHAR,0.9981792646980424,2452775,40
mdjs_offense_data,section,5,VARCHAR,0.9981792646980424,2452775,1244
mdjs_offense_data,sub_section,6,VARCHAR,0.9483812995752567,2330409,929
mdjs_offense_data,description,7,VARCHAR,0.9984889606222243,2453536,4348
mdjs_offense_data,offense_date,8,DATE,1,2457249,5232
mdjs_offense_data,offense_disposition,9,VARCHAR,0.9251471869558193,2273317,20
mdjs_offense_data,offense_disposition_date,10,DATE,0.9251353851400489,2273288,2239
mdjs_offense_data,lead_offense_indicator,11,VARCHAR,1,2457249,2
mdjs_offense_data,offense_grade,12,VARCHAR,0.959992251497508,2358940,18
mdjs_offense_data,advised_of_his_right_to_apply_for_assignment_of_counsel,13,VARCHAR,1,2457249,2
mdjs_offense_data,public_defender_requested_by_the_defendant,14,VARCHAR,1,2457249,2
mdjs_offense_data,application_provided_for_appointment_of_public_defender,15,VARCHAR,1,2457249,2
mdjs_payment_plan_data,docket_number,1,VARCHAR,1,24093,23918
mdjs_payment_plan_data,otn,2,VARCHAR,0.9997924708421533,24088,23914
mdjs_payment_plan_data,payment_plan_frequency,3,VARCHAR,1,24093,6
mdjs_payment_plan_data,due_date,4,DATE,0.022620678205287844,545,285
mdjs_payment_plan_data,active,5,VARCHAR,1,24093,2
mdjs_payment_plan_data,next_due_amt,6,DOUBLE,1,24093,273
mdjs_payment_plan_data,overdue_amt,7,DOUBLE,1,24093,253
mdjs_sentence_data,docket_number,1,VARCHAR,1,22868,21693
mdjs_sentence_data,otn,2,VARCHAR,1,22868,21693
mdjs_sentence_data,offense_sequence_number,3,DOUBLE,1,22868,30
mdjs_sentence_data,penalty_type,4,VARCHAR,1,22868,4
mdjs_sentence_data,program_type,5,VARCHAR,1,22868,7
mdjs_sentence_data,program_period,6,VARCHAR,0.04937029910792374,1129,7
mdjs_sentence_data,start_date,7,DATE,0.8739723631275145,19986,2285
mdjs_sentence_data,end_date,8,DATE,0.8739723631275145,19986,2967
mdjs_sentence_data,facility_location,9,VARCHAR,0.1602676228791324,3665,93
mdjs_sentence_data,sentencing_judge,10,VARCHAR,1,22868,348
mdjs_sentence_data,penalty_event_type,11,VARCHAR,0.8828931257652615,20190,6
